date;time;id;devname;EAct imp(kWh);EAct exp(kWh);ERInd imp(kvarh);ERInd exp(kvarh);ERCap exp(kvarh);ERCap imp(kvarh);Q_EAct imp;Q_EAct exp;Q_ERInd imp;Q_ERInd exp;Q_ERCap exp;Q_ERCap imp;EAct imp(kWh);EAct exp(kWh);ERInd imp(kvarh);ERCap exp(kvarh);ERInd exp(kvarh);ERCap imp(kvarh);VAC1 (V);VAC2 (V);VAC3 (V);IAC1 (A);IAC2 (A);IAC3 (A);POW1 (W);POW2 (W);POW3 (W);POWact (W);POWrea (var);PF1;PF2;PF3
2018/01/01;00:00:00;27;Contador;128;0;22;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
2018/01/01;00:15:00;27;Contador;126;0;20;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
2018/01/01;00:30:00;27;Contador;127;0;20;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
2018/01/01;00:45:00;27;Contador;127;0;19;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
2018/01/01;01:00:00;27;Contador;126;0;20;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
2018/01/01;01:15:00;27;Contador;124;0;19;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
2018/01/01;01:30:00;27;Contador;124;0;18;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
2018/01/01;01:45:00;27;Contador;126;0;21;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
2018/01/01;02:00:00;27;Contador;126;0;20;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
2018/01/01;02:15:00;27;Contador;123;0;18;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
2018/01/01;02:30:00;27;Contador;125;0;26;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
2018/01/01;02:45:00;27;Contador;124;0;26;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
2018/01/01;03:00:00;27;Contador;119;0;24;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
2018/01/01;03:15:00;27;Contador;117;0;22;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
2018/01/01;03:30:00;27;Contador;118;0;22;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
2018/01/01;03:45:00;27;Contador;116;0;22;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
2018/01/01;04:00:00;27;Contador;118;0;23;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
2018/01/01;04:15:00;27;Contador;118;0;22;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
2018/01/01;04:30:00;27;Contador;119;0;23;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
2018/01/01;04:45:00;27;Contador;117;0;21;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
2018/01/01;05:00:00;27;Contador;119;0;22;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
2018/01/01;05:15:00;27;Contador;117;0;22;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
2018/01/01;05:30:00;27;Contador;118;0;22;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
2018/01/01;05:45:00;27;Contador;120;0;20;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
2018/01/01;06:00:00;27;Contador;134;0;25;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
2018/01/01;06:15:00;27;Contador;157;0;33;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
2018/01/01;06:30:00;27;Contador;148;0;35;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
2018/01/01;06:45:00;27;Contador;145;0;33;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
2018/01/01;07:00:00;27;Contador;157;0;46;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
2018/01/01;07:15:00;27;Contador;169;0;49;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
2018/01/01;07:30:00;27;Contador;175;0;53;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
2018/01/01;07:45:00;27;Contador;178;0;55;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
2018/01/01;08:00:00;27;Contador;178;0;54;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
2018/01/01;08:15:00;27;Contador;192;0;59;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
2018/01/01;08:30:00;27;Contador;166;0;53;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
2018/01/01;08:45:00;27;Contador;160;0;50;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
2018/01/01;09:00:00;27;Contador;171;0;46;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
2018/01/01;09:15:00;27;Contador;169;0;40;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
2018/01/01;09:30:00;27;Contador;160;0;40;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
2018/01/01;09:45:00;27;Contador;167;0;44;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
2018/01/01;10:00:00;27;Contador;176;0;43;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
